drop_out_1;drop_out_2;activation_func;filters;train_accuracy;train_loss;validation_accuracy;validation_loss;regularization
0.2;0.2;relu;32;0.914869905;0.255737752;0.655335724;1.243164301;
0.2;0.5;relu;32;0.844996333;0.461292803;0.648370028;1.130819082;
0.1;0.2;elu;32;0.971994817;0.101115368;0.647534132;1.436508656;
0.1;0.2;relu;32;0.962067664;0.129303887;0.643633306;1.402318478;
0.1;0.2;relu;32;0.942143559;0.183447838;0.643354714;1.301622868;
0.1;0.2;elu;32;0.97391063;0.102391146;0.643076062;1.413620472;l2(0.01) (on dense layers)
0.2;0.2;relu;16;0.790414155;0.581347764;0.643076062;1.079073787;
0.3;0.5;softmax;42;0.816259682;0.53815949;0.641961575;1.146583319;
0.1;0.2;elu;32;0.938137889;0.200964287;0.638339341;1.305106044;
0.1;0.5;relu;32;0.895189643;0.330768138;0.638060749;1.250269413;
0.1;0.2;elu;32;0.972482502;0.099320978;0.637782097;1.426719069;
0.2;0.5;relu;16;0.760667384;0.685693324;0.637782097;1.068126798;
0.1;0.5;relu;32;0.918980122;0.261580378;0.637782097;1.261768818;
0.2;0.2;sigmoid;32;0.824375629;0.511283159;0.63527447;1.154215574;
0.2;0.3;sigmoid;42;0.827406049;0.498237342;0.634995818;1.18652463;
0.2;0.5;elu;20;0.688947737;1.039530039;0.634717166;1.204322815;l2(0.01) on conv2 layers l2(0.02) on dense layers
0.3;0.5;softmax;24;0.754049242;0.698228061;0.634438574;1.090435982;
0.3;0.3;softmax;42;0.87018007;0.383065671;0.633324027;1.243630052;
0.1;0.5;elu;32;0.908286572;0.298548639;0.632766783;1.257220626;
0.1;0.2;elu;16;0.865930557;0.384630114;0.631930888;1.221778035;
0.1;0.2;relu;16;0.845692992;0.440405786;0.631373644;1.189582348;
0.1;0.2;elu;16;0.852520108;0.423521996;0.6308164;1.198030353;
0.1;0.5;relu;16;0.823121667;0.521897733;0.6308164;1.174206376;
0.1;0.2;elu;16;0.863770962;0.387461543;0.629423261;1.243444443;
0.1;0.2;relu;16;0.845309854;0.447351336;0.628865957;1.172283411;
0.3;0.3;softmax;24;0.741857946;0.719698906;0.628865957;1.061144352;
0.1;0.2;sigmoid;32;0.914173245;0.26633206;0.628587365;1.3575598;
0.1;0.5;relu;16;0.820996881;0.521598518;0.628308713;1.173990607;
0.1;0.5;elu;16;0.840050161;0.47865811;0.62775147;1.183417559;
0.2;0.5;softmax;24;0.80661118;0.563548684;0.62775147;1.173821926;
0.2;0.3;sigmoid;24;0.78355217;0.623446643;0.627472818;1.147410035;
0.2;0.3;softmax;12;0.710404396;0.800676465;0.626915574;1.064555645;
0.1;0.2;sigmoid;32;0.888118684;0.343300551;0.626636922;1.282508492;
0.3;0.3;sigmoid;42;0.737573564;0.735292971;0.625522435;1.085506201;
0.2;0.5;softmax;42;0.855655015;0.441797048;0.625243783;1.231427908;
0.1;0.2;elu;8;0.730711639;0.729597211;0.623572052;1.092381477;
0.2;0.3;softmax;42;0.853181958;0.43631798;0.623014748;1.209208369;
0.3;0.3;sigmoid;24;0.72768122;0.762465835;0.622457504;1.080564857;
0.1;0.2;relu;16;0.755129039;0.677221775;0.622178853;1.063132524;
0.2;0.2;sigmoid;16;0.73402071;0.728904605;0.620507121;1.108758211;
0.2;0.5;sigmoid;42;0.771639526;0.665675938;0.61883533;1.140946269;
0.1;0.5;sigmoid;32;0.83806473;0.501663864;0.618556678;1.260518909;
0.2;0.3;softmax;24;0.79055351;0.591024399;0.616884947;1.162969351;
